GHCN_ID,month,day,hour,MLY-TMIN-AVGNDS-LSTH031,meas_flag_MLY-TMIN-AVGNDS-LSTH031,comp_flag_MLY-TMIN-AVGNDS-LSTH031,years_MLY-TMIN-AVGNDS-LSTH031
PSW00040309,01,99,99,     0.0, ,S,28
PSW00040309,02,99,99,     0.0, ,S,28
PSW00040309,03,99,99,     0.0, ,S,28
PSW00040309,04,99,99,     0.0, ,S,28
PSW00040309,05,99,99,     0.0, ,S,28
PSW00040309,06,99,99,     0.0, ,S,28
PSW00040309,07,99,99,     0.0, ,S,28
PSW00040309,08,99,99,     0.0, ,S,27
PSW00040309,09,99,99,     0.0, ,S,27
PSW00040309,10,99,99,     0.0, ,S,28
PSW00040309,11,99,99,     0.0, ,S,28
PSW00040309,12,99,99,     0.0, ,S,28
RMC00914053,01,99,99,     0.0, ,P,11
RMC00914053,02,99,99,     0.0, ,P,16
RMC00914053,03,99,99,     0.0, ,P,16
RMC00914053,04,99,99,     0.0, ,P,15
RMC00914053,05,99,99,     0.0, ,P,11
RMC00914053,06,99,99,     0.0, ,P,12
RMC00914053,07,99,99,     0.0, ,P,10
RMC00914053,08,99,99,     0.0, ,P,13
RMC00914053,09,99,99,     0.0, ,P,14
RMC00914053,10,99,99,     0.0, ,P,12
RMC00914053,11,99,99,     0.0, ,P,12
RMC00914053,12,99,99,     0.0, ,P,12
RMW00040604,01,99,99,     0.0, ,S,30
RMW00040604,02,99,99,     0.0, ,S,30
RMW00040604,03,99,99,     0.0, ,S,30
RMW00040604,04,99,99,     0.0, ,S,30
RMW00040604,05,99,99,     0.0, ,S,30
RMW00040604,06,99,99,     0.0, ,S,30
RMW00040604,07,99,99,     0.0, ,S,30
RMW00040604,08,99,99,     0.0, ,S,30
RMW00040604,09,99,99,     0.0, ,S,30
RMW00040604,10,99,99,     0.0, ,S,30
RMW00040604,11,99,99,     0.0, ,S,29
RMW00040604,12,99,99,     0.0, ,S,28
RQC00660061,01,99,99,     0.0, ,R,23
RQC00660061,02,99,99,     0.0, ,R,23
RQC00660061,03,99,99,     0.0, ,R,23
RQC00660061,04,99,99,     0.0, ,R,23
RQC00660061,05,99,99,     0.0, ,R,23
RQC00660061,06,99,99,     0.0, ,S,24
RQC00660061,07,99,99,     0.0, ,S,24
RQC00660061,08,99,99,     0.0, ,S,24
RQC00660061,09,99,99,     0.0, ,R,22
RQC00660061,10,99,99,     0.0, ,R,22
RQC00660061,11,99,99,     0.0, ,R,21
RQC00660061,12,99,99,     0.0, ,R,21
RQC00660152,01,99,99,     0.0, ,P,14
RQC00660152,02,99,99,     0.0, ,P,19
RQC00660152,03,99,99,     0.0, ,P,16
RQC00660152,04,99,99,     0.0, ,P,17
RQC00660152,05,99,99,     0.0, ,P,17
RQC00660152,06,99,99,     0.0, ,P,18
RQC00660152,07,99,99,     0.0, ,P,19
RQC00660152,08,99,99,     0.0, ,P,18
RQC00660152,09,99,99,     0.0, ,P,15
RQC00660152,10,99,99,     0.0, ,P,17
RQC00660152,11,99,99,     0.0, ,P,15
RQC00660152,12,99,99,     0.0, ,P,12
RQC00660158,01,99,99,     0.0, ,P,21
RQC00660158,02,99,99,     0.0, ,P,20
RQC00660158,03,99,99,     0.0, ,P,23
RQC00660158,04,99,99,     0.0, ,P,22
RQC00660158,05,99,99,     0.0, ,P,23
RQC00660158,06,99,99,     0.0, ,P,22
RQC00660158,07,99,99,     0.0, ,P,21
RQC00660158,08,99,99,     0.0, ,P,20
RQC00660158,09,99,99,     0.0, ,P,19
RQC00660158,10,99,99,     0.0, ,P,18
RQC00660158,11,99,99,     0.0, ,P,20
RQC00660158,12,99,99,     0.0, ,P,21
RQC00660426,01,99,99,     0.0, ,P,18
RQC00660426,02,99,99,     0.0, ,P,20
RQC00660426,03,99,99,     0.0, ,P,19
RQC00660426,04,99,99,     0.0, ,P,20
RQC00660426,05,99,99,     0.0, ,P,20
RQC00660426,06,99,99,     0.0, ,P,19
RQC00660426,07,99,99,     0.0, ,P,16
RQC00660426,08,99,99,     0.0, ,P,18
RQC00660426,09,99,99,     0.0, ,P,17
RQC00660426,10,99,99,     0.0, ,P,19
RQC00660426,11,99,99,     0.0, ,P,19
RQC00660426,12,99,99,     0.0, ,P,17
RQC00662801,01,99,99,     0.0, ,S,25
RQC00662801,02,99,99,     0.0, ,S,24
RQC00662801,03,99,99,     0.0, ,S,25
RQC00662801,04,99,99,     0.0, ,S,26
RQC00662801,05,99,99,     0.0, ,S,26
