GHCN_ID,month,day,hour,MAM-TAVG-NORMAL,meas_flag_MAM-TAVG-NORMAL,comp_flag_MAM-TAVG-NORMAL,years_MAM-TAVG-NORMAL,MAM-TMIN-NORMAL,meas_flag_MAM-TMIN-NORMAL,comp_flag_MAM-TMIN-NORMAL,years_MAM-TMIN-NORMAL,MAM-TMAX-NORMAL,meas_flag_MAM-TMAX-NORMAL,comp_flag_MAM-TMAX-NORMAL,years_MAM-TMAX-NORMAL,MAM-DUTR-NORMAL,meas_flag_MAM-DUTR-NORMAL,comp_flag_MAM-DUTR-NORMAL,years_MAM-DUTR-NORMAL
USC00264745,99,99,99,    45.0, ,S,25,    28.3, ,S,25,    61.6, ,S,28,    33.3, ,S,25
USC00264935,99,99,99,    46.4, ,S,26,    30.5, ,S,26,    62.3, ,S,26,    31.7, ,S,26
USC00264950,99,99,99,    45.4, ,S,25,    30.7, ,S,25,    60.1, ,S,28,    29.4, ,S,25
USC00265132,99,99,99,    47.2, ,R,12,    29.0, ,R,12,    65.4, ,R,19,    36.4, ,R,12
USC00265168,99,99,99,    55.9, ,R,23,    42.4, ,R,23,    69.4, ,S,25,    27.0, ,R,23
USC00265191,99,99,99,    48.2, ,S,27,    31.6, ,S,27,    64.9, ,S,30,    33.2, ,S,27
USC00265352,99,99,99,    45.3, ,R,21,    29.5, ,R,21,    61.0, ,S,24,    31.5, ,R,21
USC00265353,99,99,99,    46.0, ,E, 2,    30.5, ,E, 2,    61.6, ,E, 3,    31.1, ,E, 2
USC00265371,99,99,99,    40.9, ,R,17,    25.5, ,R,19,    56.2, ,R,17,    30.7, ,R,17
USC00265400,99,99,99,    43.3, ,R,18,    30.8, ,R,18,    55.7, ,S,28,    24.9, ,R,18
USC00265705,99,99,99,    68.3, ,R,21,    55.7, ,R,22,    81.0, ,R,21,    25.2, ,R,21
USC00265722,99,99,99,    42.3, ,R,15,    26.9, ,R,15,    57.7, ,R,17,    30.8, ,R,15
USC00265818,99,99,99,    47.9, ,S,28,    31.9, ,S,29,    63.8, ,S,28,    31.9, ,S,28
USC00265846,99,99,99,    67.5, ,S,29,    51.3, ,S,29,    83.8, ,S,29,    32.5, ,S,29
USC00265880,99,99,99,    58.8, ,R,16,    43.2, ,R,17,    74.5, ,R,16,    31.3, ,R,16
USC00265890,99,99,99,    60.8, ,S,25,    45.1, ,S,27,    76.5, ,S,25,    31.4, ,S,25
USC00266005,99,99,99,    47.7, ,R,15,    31.4, ,R,15,    63.9, ,R,18,    32.5, ,R,15
USC00266242,99,99,99,    43.8, ,R,17,    26.5, ,R,17,    61.1, ,R,17,    34.6, ,R,17
USC00266252,99,99,99,    48.5, ,R,17,    37.1, ,R,17,    60.0, ,R,21,    22.9, ,R,17
USC00266514,99,99,99,    51.1, ,R,11,    34.2, ,R,11,    67.9, ,R,11,    33.7, ,R,11
USC00266691,99,99,99,    59.6, ,R,21,    47.9, ,R,21,    71.3, ,R,21,    23.4, ,R,21
USC00266746,99,99,99,    40.9, ,R,17,    24.1, ,R,17,    57.8, ,R,20,    33.7, ,R,17
USC00266791,99,99,99,    51.4, ,R,22,    39.0, ,R,23,    63.9, ,R,22,    24.8, ,R,22
USC00267123,99,99,99,    44.4, ,S,26,    31.6, ,S,26,    57.3, ,S,26,    25.7, ,S,26
USC00267175,99,99,99,    40.1, ,R,22,    25.1, ,R,22,    55.1, ,S,24,    30.0, ,R,22
USC00267188,99,99,99,    45.6, ,R,14,    30.7, ,R,16,    60.4, ,R,14,    29.7, ,R,14
USC00267192,99,99,99,    49.7, ,S,24,    33.5, ,S,24,    65.9, ,S,28,    32.5, ,S,24
USC00267369,99,99,99,    61.3, ,R,23,    49.5, ,R,23,    73.1, ,S,26,    23.6, ,R,23
USC00267450,99,99,99,    46.4, ,R,12,    31.4, ,R,12,    61.5, ,R,16,    30.1, ,R,12
USC00267463,99,99,99,    54.7, ,R,16,    40.3, ,R,16,    69.1, ,R,22,    28.8, ,R,16
USC00267612,99,99,99,    49.6, ,S,26,    33.6, ,S,26,    65.5, ,S,28,    31.9, ,S,26
USC00267618,99,99,99,    49.8, ,R,14,    34.0, ,R,14,    65.6, ,R,14,    31.7, ,R,14
USC00267620,99,99,99,    48.3, ,R,23,    32.8, ,S,27,    63.8, ,R,23,    31.1, ,R,23
USC00267640,99,99,99,    43.2, ,R,11,    28.2, ,R,11,    58.2, ,R,11,    30.0, ,R,11
USC00267690,99,99,99,    43.7, ,R,19,    27.1, ,R,22,    60.3, ,R,19,    33.2, ,R,19
USC00267691,99,99,99,    50.2, ,E, 8,    35.2, ,E, 9,    65.2, ,E, 8,    30.0, ,E, 8
USC00267697,99,99,99,    51.7, ,S,28,    37.1, ,S,28,    66.2, ,S,28,    29.1, ,S,28
USC00267750,99,99,99,    44.0, ,R,22,    25.3, ,R,22,    62.8, ,R,23,    37.5, ,R,22
USC00267820,99,99,99,    48.3, ,R,21,    35.8, ,R,21,    60.8, ,S,28,    25.0, ,R,21
USC00267908,99,99,99,    48.1, ,R,14,    34.3, ,R,14,    61.9, ,R,23,    27.6, ,R,14
USC00267953,99,99,99,    51.3, ,R,22,    41.7, ,R,22,    60.9, ,R,23,    19.2, ,R,22
USC00268160,99,99,99,    48.3, ,E, 9,    36.3, ,E, 9,    60.3, ,E, 9,    24.0, ,E, 9
USC00268186,99,99,99,    49.2, ,R,14,    34.5, ,R,14,    64.0, ,R,14,    29.5, ,R,14
USC00268346,99,99,99,    42.8, ,R,21,    31.6, ,R,21,    54.1, ,R,21,    22.6, ,R,21
USC00268443,99,99,99,    50.5, ,R,14,    33.9, ,R,14,    67.1, ,R,15,    33.2, ,R,14
USC00268588,99,99,99,    68.4, ,S,27,    57.0, ,S,29,    79.7, ,S,27,    22.8, ,S,27
